source_type,source_index,sentence,phrase,normalized_phrase,proposed_abbreviation,word_count
paragraph,0,Тестовый документ для проверки анализа сокращений,проверки анализа сокращений,проверка анализ сокращение,ПАС,3
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",задач распознавания словоформ выделения,задача распознавание словоформа выделение,ЗРСВ,4
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",введённых аббревиатур,ввести аббревиатура,ВА,2
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",определения необходимости ввода новых сокращений,определение необходимость ввод новый сокращение,ОНВНС,5
heading,0,1. Уже объявленные сокращения,объявленные сокращения,объявить сокращение,ОС,2
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",система управления доступом,система управление доступ,СУД,3
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",права операторов,право оператор,ПО,2
paragraph,2,После объявления сокращения СУД оно должно учитываться как уже введённое.,объявления сокращения,объявление сокращение,ОС,2
paragraph,3,Для хранения архивов применяется ЦОД (центр обработки данных).,хранения архивов,хранение архив,ХА,2
paragraph,3,В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.,последующих предложениях аббревиатура,последующий предложение аббревиатура,ППА,3
paragraph,3,В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.,новой расшифровки,новый расшифровка,НР,2
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,Автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,действия пользователей,действие пользователь,ДП,2
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,журнал инцидентов,журнал инцидент,ЖИ,2
paragraph,4,Автоматизированная система мониторинга событий используется в модуле аудита.,Автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4
paragraph,4,Автоматизированная система мониторинга событий используется в модуле аудита.,модуле аудита,модуль аудит,МА,2
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,тестировании автоматизированная система мониторинга событий,тестирование автоматизированный система мониторинг событие,ТАСМС,5
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.,Модуль анализа текстовых документов,модуль анализ текстовый документ,МАТД,4
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.,устойчивые словоформы,устойчивый словоформа,УС,2
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.,известными аббревиатурами,известный аббревиатура,ИА,2
paragraph,5,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.,отчёте модуль анализа текстовых документов,отчёт модуль анализ текстовый документ,ОМАТД,5
paragraph,6,Распределённая база пользовательских профилей синхронизируется между узлами.,Распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4
paragraph,6,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.,Позднее распределённая база пользовательских профилей,поздний распределённый база пользовательский профиль,ПРБПП,5
paragraph,6,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.,персонализации интерфейса,персонализация интерфейс,ПИ,2
paragraph,6,"Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение.",распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,Короткий термин журнал ошибок,короткий термин журнал ошибка,КТЖО,4
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,отдельной аббревиатуры,отдельный аббревиатура,ОА,2
paragraph,8,Рабочая группа анализирует результаты эксперимента.,Рабочая группа,рабочий группа,РГ,2
paragraph,8,Здесь сочетание рабочая группа встречается редко и не обязано становиться аббревиатурой.,сочетание рабочая группа,сочетание рабочий группа,СРГ,3
paragraph,9,"Дополнительный пример вынесен в сноску , чтобы проверить извлечение текста из footnotes.xml.",извлечение текста,извлечение текст,ИТ,2
table_cell,2,Существующая аббревиатура,Существующая аббревиатура,существующий аббревиатура,СА,2
table_cell,3,СУД — система управления доступом,система управления доступом,система управление доступ,СУД,3
table_cell,4,Существующая аббревиатура,Существующая аббревиатура,существующий аббревиатура,СА,2
table_cell,7,автоматизированная система мониторинга событий,автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4
table_cell,9,модуль анализа текстовых документов,модуль анализа текстовых документов,модуль анализ текстовый документ,МАТД,4
table_cell,11,распределённая база пользовательских профилей,распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4
