phrase_example,normalized_phrase,proposed_abbreviation,word_count,frequency,examples
Автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
Распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4,4,"Распределённая база пользовательских профилей синхронизируется между узлами. || Позднее распределённая база пользовательских профилей используется для персонализации интерфейса. || Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение."
Автоматизированная система мониторинга,автоматизированный система мониторинг,АСМ,3,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
база пользовательских профилей,база пользовательский профиль,БПП,3,4,"Распределённая база пользовательских профилей синхронизируется между узлами. || Позднее распределённая база пользовательских профилей используется для персонализации интерфейса. || Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение."
система мониторинга событий,система мониторинг событие,СМС,3,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
Автоматизированная система,автоматизированный система,АС,2,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
Распределённая база,распределённый база,РБ,2,4,"Распределённая база пользовательских профилей синхронизируется между узлами. || Позднее распределённая база пользовательских профилей используется для персонализации интерфейса. || Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение."
мониторинга событий,мониторинг событие,МС,2,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
пользовательских профилей,пользовательский профиль,ПП,2,4,"Распределённая база пользовательских профилей синхронизируется между узлами. || Позднее распределённая база пользовательских профилей используется для персонализации интерфейса. || Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение."
система мониторинга,система мониторинг,СМ,2,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
