source_type,source_index,sentence,phrase,normalized_phrase,proposed_abbreviation,word_count
paragraph,0,Тестовый документ для проверки анализа сокращений,Тестовый документ,тестовый документ,ТД,2
paragraph,0,Тестовый документ для проверки анализа сокращений,проверки анализа,проверка анализ,ПА,2
paragraph,0,Тестовый документ для проверки анализа сокращений,проверки анализа сокращений,проверка анализ сокращение,ПАС,3
paragraph,0,Тестовый документ для проверки анализа сокращений,анализа сокращений,анализ сокращение,АС,2
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",задач распознавания,задача распознавание,ЗР,2
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",задач распознавания словоформ,задача распознавание словоформа,ЗРС,3
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",задач распознавания словоформ выделения,задача распознавание словоформа выделение,ЗРСВ,4
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",распознавания словоформ,распознавание словоформа,РС,2
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",распознавания словоформ выделения,распознавание словоформа выделение,РСВ,3
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",словоформ выделения,словоформа выделение,СВ,2
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",введённых аббревиатур,ввести аббревиатура,ВА,2
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",определения необходимости,определение необходимость,ОН,2
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",определения необходимости ввода,определение необходимость ввод,ОНВ,3
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",определения необходимости ввода новых сокращений,определение необходимость ввод новый сокращение,ОНВНС,5
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",необходимости ввода,необходимость ввод,НВ,2
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",необходимости ввода новых сокращений,необходимость ввод новый сокращение,НВНС,4
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",ввода новых сокращений,ввод новый сокращение,ВНС,3
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",новых сокращений,новый сокращение,НС,2
heading,0,1. Уже объявленные сокращения,объявленные сокращения,объявить сокращение,ОС,2
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",подсистеме контроля,подсистема контроль,ПК,2
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",система управления,система управление,СУ,2
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",система управления доступом,система управление доступ,СУД,3
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",система управления доступом СУД,система управление доступ суд,СУДС,4
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",управления доступом,управление доступ,УД,2
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",управления доступом СУД,управление доступ суд,УДС,3
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",доступом СУД,доступ суд,ДС,2
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",права операторов,право оператор,ПО,2
paragraph,2,После объявления сокращения СУД оно должно учитываться как уже введённое.,объявления сокращения,объявление сокращение,ОС,2
paragraph,2,После объявления сокращения СУД оно должно учитываться как уже введённое.,объявления сокращения СУД,объявление сокращение суд,ОСС,3
paragraph,2,После объявления сокращения СУД оно должно учитываться как уже введённое.,сокращения СУД,сокращение суд,СС,2
paragraph,3,Для хранения архивов применяется ЦОД (центр обработки данных).,хранения архивов,хранение архив,ХА,2
paragraph,3,Для хранения архивов применяется ЦОД (центр обработки данных).,центр обработки,центр обработка,ЦО,2
paragraph,3,Для хранения архивов применяется ЦОД (центр обработки данных).,центр обработки данных,центр обработка данные,ЦОД,3
paragraph,3,Для хранения архивов применяется ЦОД (центр обработки данных).,обработки данных,обработка данные,ОД,2
paragraph,3,В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.,последующих предложениях,последующий предложение,ПП,2
paragraph,3,В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.,последующих предложениях аббревиатура,последующий предложение аббревиатура,ППА,3
paragraph,3,В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.,предложениях аббревиатура,предложение аббревиатура,ПА,2
paragraph,3,В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.,новой расшифровки,новый расшифровка,НР,2
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,Автоматизированная система,автоматизированный система,АС,2
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,Автоматизированная система мониторинга,автоматизированный система мониторинг,АСМ,3
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,Автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,система мониторинга,система мониторинг,СМ,2
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,система мониторинга событий,система мониторинг событие,СМС,3
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,мониторинга событий,мониторинг событие,МС,2
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,действия пользователей,действие пользователь,ДП,2
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,журнал инцидентов,журнал инцидент,ЖИ,2
paragraph,4,Автоматизированная система мониторинга событий используется в модуле аудита.,Автоматизированная система,автоматизированный система,АС,2
paragraph,4,Автоматизированная система мониторинга событий используется в модуле аудита.,Автоматизированная система мониторинга,автоматизированный система мониторинг,АСМ,3
paragraph,4,Автоматизированная система мониторинга событий используется в модуле аудита.,Автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4
paragraph,4,Автоматизированная система мониторинга событий используется в модуле аудита.,система мониторинга,система мониторинг,СМ,2
paragraph,4,Автоматизированная система мониторинга событий используется в модуле аудита.,система мониторинга событий,система мониторинг событие,СМС,3
paragraph,4,Автоматизированная система мониторинга событий используется в модуле аудита.,мониторинга событий,мониторинг событие,МС,2
paragraph,4,Автоматизированная система мониторинга событий используется в модуле аудита.,модуле аудита,модуль аудит,МА,2
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,тестировании автоматизированная система,тестирование автоматизированный система,ТАС,3
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,тестировании автоматизированная система мониторинга,тестирование автоматизированный система мониторинг,ТАСМ,4
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,тестировании автоматизированная система мониторинга событий,тестирование автоматизированный система мониторинг событие,ТАСМС,5
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,автоматизированная система,автоматизированный система,АС,2
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,автоматизированная система мониторинга,автоматизированный система мониторинг,АСМ,3
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,система мониторинга,система мониторинг,СМ,2
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,система мониторинга событий,система мониторинг событие,СМС,3
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,мониторинга событий,мониторинг событие,МС,2
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,устойчивую работу,устойчивый работа,УР,2
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.,Модуль анализа,модуль анализ,МА,2
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.,Модуль анализа текстовых документов,модуль анализ текстовый документ,МАТД,4
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.,анализа текстовых документов,анализ текстовый документ,АТД,3
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.,текстовых документов,текстовый документ,ТД,2
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.,устойчивые словоформы,устойчивый словоформа,УС,2
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.,известными аббревиатурами,известный аббревиатура,ИА,2
paragraph,5,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.,отчёте модуль,отчёт модуль,ОМ,2
paragraph,5,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.,отчёте модуль анализа,отчёт модуль анализ,ОМА,3
paragraph,5,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.,отчёте модуль анализа текстовых документов,отчёт модуль анализ текстовый документ,ОМАТД,5
paragraph,5,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.,модуль анализа,модуль анализ,МА,2
paragraph,5,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.,модуль анализа текстовых документов,модуль анализ текстовый документ,МАТД,4
paragraph,5,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.,анализа текстовых документов,анализ текстовый документ,АТД,3
paragraph,5,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.,текстовых документов,текстовый документ,ТД,2
paragraph,6,Распределённая база пользовательских профилей синхронизируется между узлами.,Распределённая база,распределённый база,РБ,2
paragraph,6,Распределённая база пользовательских профилей синхронизируется между узлами.,Распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4
paragraph,6,Распределённая база пользовательских профилей синхронизируется между узлами.,база пользовательских профилей,база пользовательский профиль,БПП,3
paragraph,6,Распределённая база пользовательских профилей синхронизируется между узлами.,пользовательских профилей,пользовательский профиль,ПП,2
paragraph,6,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.,Позднее распределённая база,поздний распределённый база,ПРБ,3
paragraph,6,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.,Позднее распределённая база пользовательских профилей,поздний распределённый база пользовательский профиль,ПРБПП,5
paragraph,6,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.,распределённая база,распределённый база,РБ,2
paragraph,6,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.,распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4
paragraph,6,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.,база пользовательских профилей,база пользовательский профиль,БПП,3
paragraph,6,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.,пользовательских профилей,пользовательский профиль,ПП,2
paragraph,6,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.,персонализации интерфейса,персонализация интерфейс,ПИ,2
paragraph,6,"Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение.",распределённая база,распределённый база,РБ,2
paragraph,6,"Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение.",распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4
paragraph,6,"Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение.",база пользовательских профилей,база пользовательский профиль,БПП,3
