phrase_example,normalized_phrase,proposed_abbreviation,word_count,frequency,examples
Автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4,3,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов. || Автоматизированная система мониторинга событий используется в модуле аудита. || автоматизированная система мониторинга событий
Распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4,3,"Распределённая база пользовательских профилей синхронизируется между узлами. || Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение. || распределённая база пользовательских профилей"
Модуль анализа текстовых документов,модуль анализ текстовый документ,МАТД,4,2,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами. || модуль анализа текстовых документов
система управления доступом,система управление доступ,СУД,3,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов. || СУД — система управления доступом"
Существующая аббревиатура,существующий аббревиатура,СА,2,2,Существующая аббревиатура || Существующая аббревиатура
Позднее распределённая база пользовательских профилей,поздний распределённый база пользовательский профиль,ПРБПП,5,1,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.
определения необходимости ввода новых сокращений,определение необходимость ввод новый сокращение,ОНВНС,5,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
отчёте модуль анализа текстовых документов,отчёт модуль анализ текстовый документ,ОМАТД,5,1,В отчёте модуль анализа текстовых документов должен быть отмечен как кандидат на сокращение.
тестировании автоматизированная система мониторинга событий,тестирование автоматизированный система мониторинг событие,ТАСМС,5,1,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.
Короткий термин журнал ошибок,короткий термин журнал ошибка,КТЖО,4,1,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.
задач распознавания словоформ выделения,задача распознавание словоформа выделение,ЗРСВ,4,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений."
последующих предложениях аббревиатура,последующий предложение аббревиатура,ППА,3,1,В последующих предложениях аббревиатура ЦОД повторяется без новой расшифровки.
проверки анализа сокращений,проверка анализ сокращение,ПАС,3,1,Тестовый документ для проверки анализа сокращений
сочетание рабочая группа,сочетание рабочий группа,СРГ,3,1,Здесь сочетание рабочая группа встречается редко и не обязано становиться аббревиатурой.
